Category: All categories

Country,AI in Retail: (9/2/20 - 9/2/25)
St. Helena,100
Brunei,
Singapore,40
Zimbabwe,
Kenya,26
United States,26
Mauritius,
United Arab Emirates,20
South Africa,20
India,20
China,20
Hong Kong,20
Malaysia,13
Nepal,13
Qatar,
Philippines,13
South Korea,13
Australia,13
Ethiopia,
United Kingdom,13
Ireland,13
Pakistan,13
Sri Lanka,13
Myanmar (Burma),
Canada,6
New Zealand,6
Estonia,
Lithuania,
Nigeria,6
Vietnam,6
Lebanon,
Bangladesh,6
Netherlands,<1
Jordan,
Portugal,<1
Sweden,<1
Belgium,<1
Saudi Arabia,<1
Switzerland,<1
Taiwan,<1
Romania,<1
Russia,<1
Morocco,
Bulgaria,
Serbia,
Italy,<1
Israel,
Denmark,
Norway,
Finland,
Thailand,<1
Greece,
Germany,<1
Egypt,<1
Spain,<1
Peru,<1
Czechia,
Ecuador,
France,<1
Indonesia,<1
Chile,<1
Colombia,<1
Kazakhstan,
Hungary,
Argentina,<1
Mexico,<1
Poland,<1
Austria,
Brazil,<1
Ukraine,<1
Türkiye,<1
Japan,<1
Iran,
Laos,
Aruba,
Fiji,
Faroe Islands,
Micronesia,
Gabon,
Western Sahara,
Georgia,
Guernsey,
Ghana,
Gibraltar,
Guinea,
Guadeloupe,
Gambia,
Guinea-Bissau,
Equatorial Guinea,
Eritrea,
Grenada,
Greenland,
Guatemala,
French Guiana,
Guam,
Guyana,
Algeria,
Heard & McDonald Islands,
Honduras,
Croatia,
Haiti,
Dominican Republic,
Dominica,
Isle of Man,
Djibouti,
British Indian Ocean Territory,
Cyprus,
Cayman Islands,
Iraq,
Iceland,
Christmas Island,
Curaçao,
Jamaica,
Jersey,
Cuba,
Costa Rica,
Cape Verde,
Comoros,
Kyrgyzstan,
Cambodia,
Kiribati,
St. Kitts & Nevis,
Cook Islands,
Kuwait,
Congo - Brazzaville,
Congo - Kinshasa,
Angola,
Libya,
St. Lucia,
Liechtenstein,
Cameroon,
Lesotho,
Côte d’Ivoire,
Luxembourg,
Latvia,
Macao,
St. Martin,
Cocos (Keeling) Islands,
Monaco,
Moldova,
Madagascar,
Maldives,
Central African Republic,
Marshall Islands,
North Macedonia,
Mali,
Malta,
Botswana,
Montenegro,
Mongolia,
Northern Mariana Islands,
Mozambique,
Mauritania,
Montserrat,
Martinique,
Bouvet Island,
Malawi,
Bhutan,
Mayotte,
Namibia,
New Caledonia,
Niger,
Falkland Islands (Islas Malvinas),
Barbados,
Nicaragua,
Niue,
Bolivia,
Bermuda,
Belize,
Nauru,
Belarus,
Oman,
St. Barthélemy,
Panama,
Pitcairn Islands,
Bosnia & Herzegovina,
Bahamas,
Palau,
Papua New Guinea,
Bahrain,
Puerto Rico,
North Korea,
Burkina Faso,
Paraguay,
Palestine,
French Polynesia,
Caribbean Netherlands,
Réunion,
Benin,
Burundi,
Rwanda,
Azerbaijan,
Sudan,
Senegal,
Antigua & Barbuda,
South Georgia & South Sandwich Islands,
French Southern Territories,
Svalbard & Jan Mayen,
Solomon Islands,
Sierra Leone,
El Salvador,
San Marino,
Somalia,
St. Pierre & Miquelon,
Antarctica,
South Sudan,
São Tomé & Príncipe,
Suriname,
Slovakia,
Slovenia,
American Samoa,
Eswatini,
Sint Maarten,
Seychelles,
Syria,
Turks & Caicos Islands,
Chad,
Togo,
Armenia,
Tajikistan,
Tokelau,
Turkmenistan,
Timor-Leste,
Tonga,
Trinidad & Tobago,
Tunisia,
Andorra,
Tuvalu,
Albania,
Tanzania,
Uganda,
Åland Islands,
U.S. Outlying Islands,
Uruguay,
Anguilla,
Uzbekistan,
Vatican City,
St. Vincent & Grenadines,
Venezuela,
British Virgin Islands,
U.S. Virgin Islands,
Afghanistan,
Vanuatu,
Wallis & Futuna,
Samoa,
Kosovo,
Yemen,
Liberia,
Zambia,
Norfolk Island,
