Category: All categories

Week,AI Chatbot: (Worldwide),AI in Retail: (Worldwide),Predictive analytics: (Worldwide)
2020-08-30,2,<1,12
2020-09-06,2,<1,13
2020-09-13,2,<1,13
2020-09-20,2,<1,13
2020-09-27,2,<1,12
2020-10-04,1,<1,14
2020-10-11,1,<1,12
2020-10-18,1,<1,12
2020-10-25,1,<1,12
2020-11-01,1,<1,13
2020-11-08,1,<1,12
2020-11-15,1,<1,12
2020-11-22,1,<1,11
2020-11-29,2,0,12
2020-12-06,1,0,12
2020-12-13,1,<1,10
2020-12-20,1,0,8
2020-12-27,1,0,7
2021-01-03,1,0,10
2021-01-10,2,0,11
2021-01-17,2,<1,11
2021-01-24,2,<1,12
2021-01-31,1,0,11
2021-02-07,1,<1,12
2021-02-14,1,<1,12
2021-02-21,2,<1,12
2021-02-28,1,<1,12
2021-03-07,1,<1,12
2021-03-14,2,<1,12
2021-03-21,2,<1,12
2021-03-28,1,<1,11
2021-04-04,2,<1,12
2021-04-11,2,<1,13
2021-04-18,2,<1,14
2021-04-25,2,<1,13
2021-05-02,2,0,14
2021-05-09,2,0,12
2021-05-16,2,0,13
2021-05-23,2,<1,13
2021-05-30,2,0,12
2021-06-06,2,<1,13
2021-06-13,2,<1,13
2021-06-20,2,<1,12
2021-06-27,2,0,12
2021-07-04,2,0,12
2021-07-11,2,<1,12
2021-07-18,2,<1,12
2021-07-25,2,<1,11
2021-08-01,2,0,11
2021-08-08,2,0,11
2021-08-15,2,<1,11
2021-08-22,2,0,11
2021-08-29,2,<1,12
2021-09-05,2,<1,12
2021-09-12,2,<1,13
2021-09-19,2,<1,13
2021-09-26,2,<1,13
2021-10-03,2,<1,14
2021-10-10,2,<1,13
2021-10-17,2,<1,14
2021-10-24,2,<1,13
2021-10-31,2,0,12
2021-11-07,2,<1,13
2021-11-14,2,<1,15
2021-11-21,2,<1,13
2021-11-28,2,<1,15
2021-12-05,2,<1,13
2021-12-12,2,<1,13
2021-12-19,2,<1,10
2021-12-26,2,0,9
2022-01-02,2,<1,11
2022-01-09,2,0,13
2022-01-16,2,0,13
2022-01-23,2,0,13
2022-01-30,2,<1,13
2022-02-06,2,<1,14
2022-02-13,2,<1,15
